image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00007.jpg,0.0731928916,0.0303042153,0.0075146153,0.0070252536,0.0010009477,0.0029515477,0.0029509037,0.875059625
img_00009.jpg,0.7365793863,0.0853439603,0.0029206057,0.0033347383,0.0010009069,0.1604833884,0.0033125951,0.007024419
img_00018.jpg,0.8195660519,0.0553871936,0.0038679782,0.0153661227,0.0010011848,0.0912567045,0.0029475654,0.0106071989
img_00027.jpg,0.1756068768,0.0345437383,0.0070102331,0.0036949255,0.0010105051,0.1904413886,0.0201110285,0.567581304
img_00040.jpg,0.1399583202,0.0137983723,0.0030601636,0.0035466491,0.0010112824,0.0110943742,0.7768064207,0.0507244177
img_00053.jpg,0.8854587756,0.0184127287,0.0116080696,0.0047560698,0.0010134967,0.0615160855,0.0032425508,0.0139922234
img_00071.jpg,0.0671758487,0.0069445716,0.0030219239,0.9100441144,0.0010009485,0.0053288279,0.0029181925,0.0035655723
img_00075.jpg,0.8570843733,0.0266750213,0.0035615517,0.0088476654,0.0010267802,0.0926642354,0.0059801698,0.004160203
img_00102.jpg,0.4930968115,0.0221369955,0.0047048663,0.0033816527,0.0010020062,0.0210251928,0.0102329422,0.4444195328
img_00103.jpg,0.8221200307,0.039681182,0.0715625738,0.0029431073,0.0010009037,0.0454428991,0.0029068259,0.0143424775
img_00109.jpg,0.9738658719,0.0029252721,0.0028988028,0.0028984873,0.0010010306,0.005787362,0.0034253454,0.007197828
img_00120.jpg,0.7592354871,0.0203622387,0.004432623,0.0046201006,0.001004878,0.0199449205,0.0740785821,0.11632117
img_00125.jpg,0.7668431139,0.0123575911,0.0081245424,0.0034162611,0.0010009609,0.0233964455,0.0065369597,0.1783241253
img_00128.jpg,0.0124415143,0.0848017902,0.4699053816,0.0029476969,0.0010022485,0.004873404,0.0042565963,0.4197713681
img_00129.jpg,0.1365243556,0.0132201087,0.0044928922,0.0041969387,0.0010129985,0.0112827986,0.7807782373,0.0484916704
img_00138.jpg,0.4390603003,0.5269130375,0.0068850776,0.008420632,0.0010038759,0.0087271426,0.0038888102,0.0051011238
img_00141.jpg,0.0068128365,0.0072813759,0.0116208573,0.0029153731,0.0010009126,0.0037504754,0.0029153783,0.9637027909
img_00152.jpg,0.0379443689,0.0192053235,0.004021881,0.0031391553,0.0010034657,0.0070738853,0.0041376879,0.9234742325
