image,Fish,NoF
img_06237.jpg,0.990000009537,0.00999999977648
img_06893.jpg,0.974431872368,0.0255681686103
img_02082.jpg,0.282253801823,0.717746257782
img_06261.jpg,0.990000009537,0.00999999977648
img_03628.jpg,0.990000009537,0.00999999977648
img_04860.jpg,0.990000009537,0.00999999977648
img_01640.jpg,0.990000009537,0.00999999977648
img_02709.jpg,0.990000009537,0.00999999977648
img_00030.jpg,0.118735589087,0.881264448166
img_04740.jpg,0.939413487911,0.0605865418911
img_07746.jpg,0.990000009537,0.00999999977648
img_02830.jpg,0.990000009537,0.00999999977648
img_03195.jpg,0.990000009537,0.00999999977648
img_06851.jpg,0.987161636353,0.0128383412957
img_00075.jpg,0.893693208694,0.106306806207
img_05989.jpg,0.990000009537,0.00999999977648
img_03254.jpg,0.990000009537,0.00999999977648
img_02083.jpg,0.00999999977648,0.990000009537
img_03718.jpg,0.990000009537,0.00999999977648
img_07434.jpg,0.230206102133,0.76979392767
img_04382.jpg,0.990000009537,0.00999999977648
img_05580.jpg,0.985464453697,0.0145355165005
img_05615.jpg,0.990000009537,0.00999999977648
img_03312.jpg,0.990000009537,0.00999999977648
img_05740.jpg,0.978706181049,0.021293843165
img_00223.jpg,0.990000009537,0.00999999977648
img_03074.jpg,0.990000009537,0.00999999977648
img_06849.jpg,0.990000009537,0.00999999977648
img_05426.jpg,0.990000009537,0.00999999977648
img_07616.jpg,0.987756609917,0.0122434096411
img_07921.jpg,0.990000009537,0.00999999977648
img_00729.jpg,0.402320861816,0.597679138184
img_04990.jpg,0.990000009537,0.00999999977648
img_03941.jpg,0.990000009537,0.00999999977648
img_00180.jpg,0.990000009537,0.00999999977648
img_01657.jpg,0.97497522831,0.0250248294324
img_04341.jpg,0.990000009537,0.00999999977648
img_06033.jpg,0.477469474077,0.52253049612
img_07460.jpg,0.990000009537,0.00999999977648
img_05879.jpg,0.990000009537,0.00999999977648
img_00764.jpg,0.990000009537,0.00999999977648
img_06831.jpg,0.990000009537,0.00999999977648
img_05046.jpg,0.990000009537,0.00999999977648
img_05349.jpg,0.990000009537,0.00999999977648
img_02679.jpg,0.986567437649,0.0134325688705
img_06522.jpg,0.983032166958,0.0169678386301
img_02865.jpg,0.00999999977648,0.990000009537
img_02209.jpg,0.949258327484,0.0507416501641
