NoF,ALB,BET,DOL,LAG,OTHER,SHARK,YFT,image_file
1.35889105524e-10,4.73359104944e-05,1.18152297546e-06,3.34161462945e-08,1.88030207937e-06,2.01524852361e-10,1.11526982094e-10,0.999949574471,img_00007.jpg
7.86655046658e-11,0.991265833378,0.00107772019692,9.8678356153e-07,1.00224606392e-09,0.00765537656844,8.96572427411e-10,9.92914195308e-08,img_00009.jpg
5.3888442153e-08,0.980049788952,0.0181933641434,1.14034846774e-05,8.19245906314e-06,2.41509151238e-05,3.56352273911e-07,0.00171267101541,img_00009.jpg
2.17865590457e-07,0.0106898834929,0.0972070470452,6.91202440066e-05,4.42946020485e-06,0.892025828362,1.86019178727e-07,3.2673408441e-06,img_00009.jpg
2.16042423062e-07,0.926879405975,0.00254483497702,3.90069435525e-05,1.07189744085e-05,0.0702701210976,6.27866165814e-06,0.000249408738455,img_00018.jpg
1.16138366479e-07,0.532571136951,0.0164385009557,6.24028543825e-05,1.13754740596e-05,0.450760632753,1.69360191649e-06,0.000154182314873,img_00018.jpg
1.28251679143e-06,0.0566688887775,0.833649337292,0.00016432137636,1.8527278371e-05,0.0806767418981,0.000867503520567,0.0279534645379,img_00027.jpg
6.42136583906e-08,0.000184015094419,1.92465086002e-06,2.02016021689e-08,3.70647512682e-09,2.17100950977e-05,0.999748885632,4.33013592556e-05,img_00040.jpg
1.37736279271e-07,0.748981058598,0.217774748802,0.0139723252505,6.94536629453e-06,4.75636261399e-06,3.55801853402e-06,0.0192565023899,img_00053.jpg
3.27119096255e-06,0.847510933876,0.0207407716662,0.000909921713173,3.47348145624e-06,0.123824715614,0.00641823140904,0.000588658323977,img_00053.jpg
1.04962879277e-07,1.7955766225e-06,1.04578198545e-07,3.68761590153e-08,0.999995470047,2.16560080979e-09,1.55656862399e-10,2.41234670284e-06,img_00071.jpg
2.59190585439e-07,0.852497279644,0.0819803401828,0.000172401574673,1.16414521472e-05,0.0601674951613,2.20041124521e-06,0.00516830990091,img_00075.jpg
5.84127164416e-08,0.00187197863124,7.04077410774e-06,9.61813270806e-07,5.90335685047e-06,2.19613824015e-07,0.000113572205009,0.998000204563,img_00102.jpg
3.37996652888e-07,0.846628129482,0.00251195672899,3.35605036526e-05,2.76181526715e-05,0.000809018849395,9.88465180853e-05,0.149890482426,img_00102.jpg
1.9508574951e-06,0.924891233444,0.00503654358909,0.0533678866923,1.90338032553e-05,8.4401719505e-05,1.03655065686e-05,0.0165885314345,img_00103.jpg
1.02400736779e-08,0.985768973827,0.00136358803138,8.00899385922e-07,7.73889678385e-06,0.0128297740594,9.87594262369e-07,2.81177290162e-05,img_00103.jpg
1.19489266126e-06,0.959814965725,0.0272025149316,3.10144641844e-05,3.11688700094e-06,0.0095250448212,0.00047718785936,0.00294497236609,img_00109.jpg
4.6119854602e-09,0.700189769268,0.0027673963923,1.03988071487e-07,4.82294126414e-07,8.36024446471e-06,2.05169799301e-05,0.297013431787,img_00120.jpg
6.63823769287e-08,0.981758475304,0.00837849825621,2.15336931433e-05,2.46286981564e-05,0.000432735454524,1.71132546711e-06,0.00938243046403,img_00125.jpg
7.53511642415e-07,0.000175315726665,0.000183184136404,0.390217661858,1.59067235472e-06,7.19515810488e-06,7.30135252525e-06,0.609407007694,img_00128.jpg
2.21325251459e-08,6.89006537868e-06,2.927713183e-08,4.47075080956e-07,9.75301617245e-10,7.92529044702e-06,0.999961256981,2.3534097636e-05,img_00129.jpg
3.1196003647e-07,0.922825753689,0.0616620853543,0.0013667892199,2.70892911658e-07,0.00543272169307,4.23246456194e-05,0.00866964552552,img_00138.jpg
8.75392758282e-10,3.74565871653e-07,6.31867260381e-06,1.44865971379e-05,8.10705529375e-08,1.32506441375e-08,5.21315302038e-09,0.999978661537,img_00141.jpg
5.4694199207e-05,0.160043761134,0.12938284874,0.00193632801529,3.36964076268e-05,0.149910852313,0.0184424817562,0.540195345879,img_00152.jpg
2.60563792764e-12,5.79025938308e-09,2.44549305251e-08,6.98206145677e-11,2.58432897304e-09,3.32811144095e-13,4.95287187999e-12,1.0,img_00161.jpg
3.41828558703e-06,0.0113827139139,0.00125950586516,3.23136700899e-05,0.986580193043,2.09289355553e-05,6.91758694771e-09,0.000720956304576,img_00170.jpg
1.74892284122e-05,0.792263031006,0.00306970672682,0.127559036016,1.09141483335e-05,0.0738445669413,0.000190651422599,0.0030446217861,img_00171.jpg
1.54262454544e-06,0.86421495676,0.000311630312353,0.000371836009435,7.23144876247e-06,0.132869675756,1.93694131667e-06,0.00222115498036,img_00175.jpg
7.39563575311e-13,6.20146579422e-07,1.50968489265e-07,2.59548502482e-12,9.44029295624e-07,1.77308810538e-13,5.35767990303e-13,0.99999833107,img_00180.jpg
3.72705358131e-07,0.565249681473,0.00354447518475,5.15317515237e-06,0.00390300527215,1.88374386312e-07,2.43446493187e-07,0.427296876907,img_00212.jpg
1.4907593382e-08,0.97290199995,0.00504859071225,4.65213270218e-05,6.13409838479e-08,0.0219472777098,2.11532756111e-06,5.34414430149e-05,img_00223.jpg
4.56079669675e-06,0.508988142014,0.0608255974948,0.00080556422472,2.75006677839e-05,0.428884536028,3.5526281863e-05,0.00042867162847,img_00230.jpg
7.0108689687e-11,0.978464245796,0.0215176027268,2.97848345099e-07,1.76800440954e-09,6.24805898042e-06,3.67179553429e-09,1.14290169222e-05,img_00230.jpg
1.05233468162e-07,0.704449176788,0.0296686571091,0.000121296659927,3.5326954162e-07,0.2649307549,1.42903509186e-05,0.000815350562334,img_00230.jpg
1.13226192866e-07,0.0194956790656,0.979724526405,6.16810166321e-06,9.34703450639e-07,0.000208264114917,3.25908945342e-06,0.000561081047636,img_00230.jpg
1.13028360005e-08,0.000293460849207,0.000519233639352,1.60146007566e-09,1.33251605305e-08,3.60642843589e-05,0.998187601566,0.000963522703387,img_00232.jpg
6.67535744014e-07,0.348547101021,0.00397824961692,2.13684506889e-05,0.000668819877319,0.638137638569,1.1985441688e-06,0.00864499993622,img_00244.jpg
3.84995928471e-08,0.993678510189,0.000832435616758,1.49927163875e-05,1.6716668938e-07,0.00052927993238,1.71089808987e-07,0.00494435662404,img_00280.jpg
2.87536522592e-06,0.948015093803,0.00800873152912,0.0298834461719,8.43282850838e-06,0.0105474321172,0.000113738358777,0.00342026166618,img_00282.jpg
7.27938909151e-09,0.252671927214,0.00557800056413,9.92837598801e-08,1.36245304816e-07,0.000347493798472,0.00103456701618,0.740367770195,img_00285.jpg
3.95634351946e-08,0.996673464775,0.000158622060553,1.38904692903e-06,1.24061116935e-07,0.000173483087565,0.00234489911236,0.000647907261737,img_00292.jpg
1.46246429722e-06,0.628967583179,0.230197265744,3.12064257741e-05,2.02805713343e-05,0.116886220872,0.00935155898333,0.0145444283262,img_00292.jpg
5.13172926375e-09,0.00595447607338,0.993523478508,2.20419508423e-07,1.84718846867e-05,3.17778794852e-05,1.25101138337e-07,0.000471462262794,img_00292.jpg
4.95684901125e-07,0.00152485910803,1.41207819979e-05,1.94879885385e-06,6.81026435245e-08,9.08975416678e-05,0.995935082436,0.00243247114122,img_00302.jpg
7.48831135988e-11,0.99865937233,0.000435167254182,2.23541984923e-08,4.21943049389e-08,1.3865181927e-06,1.53829127214e-09,0.000903892854694,img_00311.jpg
1.52865404796e-13,0.999955773354,1.42387904134e-07,5.91730692223e-11,1.96210452399e-13,8.75669320521e-06,1.55605476421e-11,3.54372205038e-05,img_00320.jpg
1.967843275e-07,0.772064566612,0.00347647117451,3.20269318763e-05,1.08466156234e-06,0.222179278731,3.56229975296e-06,0.00224283873104,img_00331.jpg
1.46785453126e-06,0.700596690178,0.0808956548572,0.000924675143324,0.000100312958239,0.114212453365,2.79465330095e-05,0.103240795434,img_00358.jpg
6.51982827549e-06,0.763697266579,0.00486410036683,4.40262883785e-05,0.00071827735519,0.00165735033806,0.00292804604396,0.226084411144,img_00358.jpg
1.18853232811e-10,0.777989149094,0.000342225102941,1.27610618961e-07,2.82361387605e-08,1.50105876173e-07,1.667271321e-09,0.221668317914,img_00374.jpg
8.96333887113e-08,0.548960745335,0.442217230797,2.06886015803e-05,2.90442102369e-07,0.000214054773096,7.13605404599e-05,0.00851552654058,img_00374.jpg
1.73769094545e-05,0.371708929539,0.254612714052,0.000227098469622,0.00162314495537,0.00111801933963,9.38281082199e-05,0.370598882437,img_00374.jpg
8.45078602651e-08,1.82540279638e-05,0.000139245632454,0.999799311161,1.76945622599e-08,4.30244144809e-05,9.01654395591e-09,6.94825885716e-08,img_00375.jpg
9.98658378215e-10,0.996490061283,0.000947354012169,6.64137814965e-07,1.79823569368e-08,0.00206793122925,4.99783965324e-08,0.000493840605486,img_00376.jpg
1.84959003668e-09,0.997498095036,2.15331474465e-05,4.37981316281e-06,4.30427427034e-09,0.00232313410379,7.42749648452e-08,0.000152745240484,img_00380.jpg
5.95850035978e-09,0.804919183254,0.187813177705,7.93712402469e-08,0.00661284010857,5.12319253687e-09,1.21226872984e-09,0.000654675823171,img_00383.jpg
4.02703426161e-09,0.973721861839,0.000122342360555,2.25155005751e-07,3.91676273637e-08,0.00265155686066,2.29566666121e-07,0.0235037729144,img_00398.jpg
1.40554801131e-09,0.990533828735,0.00231778831221,2.78043188473e-08,3.51364434437e-07,0.000109128624899,1.31832678107e-07,0.00703872879967,img_00398.jpg
3.72975206275e-10,0.997808754444,2.46912768489e-05,1.82896769729e-06,2.40256370354e-09,0.00215522339568,2.96584374837e-08,9.43668419495e-06,img_00407.jpg
5.40183897613e-08,0.973517537117,0.0184934046119,2.51176898018e-05,3.04068162222e-05,0.000224467788939,8.57022143919e-07,0.00770820351318,img_00407.jpg
5.11894540978e-07,0.0389254540205,0.000884893350303,7.88415218267e-06,0.00254812720232,1.85730741009e-07,1.9026744269e-07,0.95763283968,img_00417.jpg
