"image","ALB","BET","DOL","LAG","NoF","OTHER","SHARK","YFT"
"img_00005.jpg",0.00325620732165811,0.00148869061312526,0.00223696113561076,0.000840587192884355,0.986916319455486,0.00164250240924652,0.00155805000451399,0.0020606818674752
"img_00007.jpg",0.0503617103170108,0.0109769379435757,0.00374321487342061,0.00359725581489623,1.00324487948956e-05,0.00236086850345981,0.00214623635380602,0.926803743745036
"img_00009.jpg",0.829603856582091,0.0851432835129937,0.00573598348810986,0.00243662364740786,1.01504295125144e-05,0.0711138244884177,0.00211427627636476,0.00384200157510276
"img_00018.jpg",0.719849672892404,0.0707520185790646,0.00215611524869498,0.00744484272414563,1.00270340814213e-05,0.191662407805033,0.00212218303974247,0.00600273267683373
"img_00027.jpg",0.255582684212489,0.0341122436041892,0.00888145832001914,0.00265876250741365,1.00800989356088e-05,0.120919410028401,0.0100831893024093,0.567752171926143
"img_00030.jpg",0.0162388380586193,0.00197807901900708,0.00103025213780934,0.00463261098177666,0.97036811293061,0.00383599771648585,0.000727514995870097,0.00118859415982156
"img_00040.jpg",0.123425133039908,0.00668952431678054,0.0035333850521585,0.00216721540763478,1.00620964165472e-05,0.00666154437881987,0.824474081171358,0.0330390545369233
"img_00046.jpg",0.562752588374765,0.0097248869315265,0.012074351699627,0.00691359781619816,0.371583072889122,0.0124659842849666,0.01002085575887,0.0144646622449251
"img_00053.jpg",0.92180026545236,0.0212582955575164,0.0156428478037735,0.00288795538757358,1.01460121676739e-05,0.0277059942710314,0.00338687541591604,0.00730762009966158
"img_00071.jpg",0.000462025717703431,0.000218461629831728,0.000201531008337676,0.998499440773894,1.00062779270411e-06,0.000201337774818617,0.000199891752240298,0.000216310715381155
"img_00075.jpg",0.888670433277236,0.0302341825215137,0.00266693470781362,0.00238782438837615,1.01387118277685e-05,0.070763169556661,0.00210638180852315,0.00316093502804899
"img_00102.jpg",0.341213615203373,0.0120388620689446,0.00280586466018736,0.00329847417354375,1.00820830267816e-05,0.0455730815737477,0.011646960432084,0.583413059805093
"img_00103.jpg",0.806681320583649,0.0769745010720512,0.0728039438284661,0.0029053983987286,1.00240809821499e-05,0.0141604440087046,0.00214120966417838,0.0243231583632399
"img_00109.jpg",0.968639721740908,0.00920903231152823,0.00221113969938769,0.00216946403233632,1.00215471650084e-05,0.00993123849903783,0.00245289257409194,0.00537648959554538
"img_00119.jpg",0.000758626109227199,0.000677450893102548,0.00092198590276763,0.000677565758508764,0.990677627714435,0.000920727572576016,0.000937842867155568,0.0044281731822269
"img_00120.jpg",0.736924733015807,0.0138038521656429,0.00220608176694322,0.0021638816897852,1.00245585124307e-05,0.0110577048802355,0.0350280356916997,0.198805686231374
"img_00125.jpg",0.833448107202349,0.00640322563636468,0.00623035027188695,0.00397177959952759,1.00326743207965e-05,0.0191933463453668,0.00426523464971846,0.126477923620466
"img_00128.jpg",0.00653222714825975,0.0407218595208311,0.272212216023988,0.00220976934068119,1.00373220333908e-05,0.00349963051207263,0.00248334443945677,0.672330915692678
"img_00129.jpg",0.155517675328697,0.00639217006005912,0.00288047463113848,0.00212899514166758,1.00774716356582e-05,0.00745536792877223,0.784009368503156,0.041605870934874
"img_00133.jpg",0.0100659801093774,0.00218617748280612,0.00149705543018441,0.00111372583341111,0.979219964089413,0.00319253340356278,0.000754117567622387,0.00197044608362248
