NoF,ALB,BET,DOL,LAG,OTHER,SHARK,YFT,image_file,crop_index
4.04845090785e-09,0.00347765418701,1.19558274037e-06,3.2950727018e-06,1.49462493937e-05,1.33520813961e-06,5.87301371979e-07,0.996500968933,img_00007.jpg,0.0
5.75795944258e-08,0.997963011265,0.000429861625889,1.26419979551e-06,0.000327072339132,0.00121036032215,5.92501521623e-07,6.77155403537e-05,img_00009.jpg,0.0
4.21788781679e-09,0.06865426898,0.348566025496,2.94413766824e-05,5.39422944712e-06,0.582738339901,1.56829855769e-08,6.58955968902e-06,img_00009.jpg,1.0
4.22816981427e-09,0.944682896137,0.0112091861665,8.67672042659e-06,3.94370317736e-07,0.0440782345831,3.56892911668e-07,2.02072715183e-05,img_00009.jpg,2.0
2.36777751184e-07,0.820079624653,0.000937153119594,0.00298298452981,3.52840470441e-05,0.175502702594,2.92040363092e-06,0.000459127972135,img_00018.jpg,0.0
3.60620977524e-09,0.825195491314,0.000708981591742,2.60524484474e-06,2.72261956979e-07,0.173890218139,8.74627914982e-07,0.000201636386919,img_00018.jpg,1.0
2.73217466429e-07,0.0936695337296,0.00941707473248,0.000104871411168,1.27670145957e-05,0.000762866518926,0.000363316969015,0.895669281483,img_00027.jpg,0.0
4.05882673249e-07,0.00022102620278,5.64669051073e-07,1.54792175522e-07,1.93508622459e-08,1.09905195131e-05,0.999755442142,1.13687610792e-05,img_00040.jpg,0.0
7.25435072013e-08,0.695902049541,0.00587959075347,0.029805386439,4.46027030421e-07,0.268057256937,9.24202777242e-06,0.000345977139659,img_00053.jpg,0.0
2.44432200175e-11,0.983292400837,0.00588799268007,3.54979238182e-05,1.39546472155e-08,9.04375838218e-07,2.34384330611e-07,0.0107829952613,img_00053.jpg,1.0
8.20967969162e-08,7.44766168737e-07,6.52856385841e-07,4.60187372653e-08,0.999996423721,1.71286345108e-08,2.00817470292e-11,2.02898922907e-06,img_00071.jpg,0.0
1.3349067407e-09,0.839617192745,0.00156188895926,1.2119138546e-06,7.78350852215e-07,0.158557653427,4.10385787575e-08,0.000261183042312,img_00075.jpg,0.0
1.09981692731e-05,0.446772426367,0.0474503338337,0.000314235541737,0.00140736764297,0.00302934763022,0.0199359487742,0.481079339981,img_00102.jpg,0.0
8.76163070984e-08,0.997525393963,4.04811471526e-05,3.26577196574e-06,8.85244025994e-06,7.62714407756e-05,0.000195455446374,0.0021501944866,img_00102.jpg,1.0
5.50773449959e-07,0.734188556671,0.195695206523,0.0596666783094,0.000143564175232,0.00483629154041,1.66554491443e-06,0.0054675117135,img_00103.jpg,0.0
1.07579400943e-09,0.829828739166,0.000439601455582,2.26461656894e-06,2.35925631387e-06,0.169269382954,1.765275357e-07,0.000457440270111,img_00103.jpg,1.0
3.29782778863e-09,0.997815310955,5.812276504e-05,7.81900951097e-07,9.23268785868e-08,0.00151505961549,2.37791700783e-05,0.000586811860558,img_00109.jpg,0.0
2.9960754743e-14,0.99999666214,5.30667875864e-07,1.17785891717e-12,3.67436608917e-10,6.06343109055e-09,7.7296696821e-11,2.84365069092e-06,img_00120.jpg,0.0
1.03727903003e-11,0.928334712982,0.00583190144971,6.7385421687e-09,1.15799894118e-08,1.10339520631e-07,2.14167190649e-08,0.0658332705498,img_00125.jpg,0.0
1.85858368695e-08,0.000114001530164,0.212086543441,0.683980762959,4.32568647568e-08,0.000195653701667,2.3233711488e-07,0.103622704744,img_00128.jpg,0.0
