NoF,ALB,BET,DOL,LAG,OTHER,SHARK,YFT,image_file
4.73212136143e-09,0.000382723868825,1.76335270226e-05,6.408146902e-08,4.39092109445e-05,1.23835064869e-07,1.82854211772e-08,0.999555408955,img_00007.jpg
8.93203207397e-07,0.708027541637,0.273955255747,0.000121839366329,4.3781925342e-05,0.0173793956637,1.34390056701e-05,0.000457755522802,img_00009.jpg
1.46802406675e-07,0.657887101173,0.329856902361,0.000176984758582,8.07028027339e-06,0.000111008004751,5.35367917109e-06,0.0119543867186,img_00009.jpg
7.37429502351e-07,0.0565858669579,0.0604678653181,0.000187064695638,5.28609234607e-05,0.882696270943,9.22686638205e-07,8.30361750559e-06,img_00009.jpg
3.18867563465e-07,0.767814278603,0.00532734626904,7.18180526746e-05,1.55789837208e-06,0.224767163396,1.16300861919e-05,0.00200589350425,img_00018.jpg
6.7651133584e-09,0.0814049690962,0.00138641986996,2.64053824139e-06,1.5951424075e-06,0.917198717594,3.69165285008e-08,5.53366817257e-06,img_00018.jpg
3.71834266844e-06,0.0644494593143,0.0164209380746,0.000468529644422,1.46835445776e-05,0.146135702729,0.00443440396339,0.768072545528,img_00027.jpg
1.00335647346e-07,0.000485694123199,2.38563893618e-06,2.39310281813e-07,3.80295306357e-09,4.65198536403e-05,0.999429285526,3.57712960977e-05,img_00040.jpg
1.00729771191e-07,0.993005692959,0.00477236695588,0.000322471663821,1.54731242219e-06,2.22888138524e-05,3.53032373823e-06,0.00187210913282,img_00053.jpg
7.94710857122e-08,0.995654225349,0.000744812830817,0.000593071745243,1.3721070502e-07,0.00278154900298,2.86230192614e-06,0.000223265873501,img_00053.jpg
5.84146455651e-08,7.80988855809e-08,4.27629203159e-08,5.53403545211e-09,0.999999642372,4.25041252194e-10,2.27285568838e-11,2.82014070763e-07,img_00071.jpg
2.34484236472e-08,0.891621232033,0.000851366727147,3.27034541669e-07,2.99536895909e-06,0.10745331645,2.26121059654e-08,7.08130100975e-05,img_00075.jpg
4.41690499429e-05,0.69772619009,0.0113749243319,0.000669429718982,0.00221765157767,0.00807080697268,0.00995799805969,0.269938826561,img_00102.jpg
5.00064970765e-07,0.890554904938,0.000909574737307,8.76878857525e-06,0.000152409658767,0.000382951839129,0.00261255330406,0.105378299952,img_00102.jpg
3.99901909987e-06,0.0559985414147,0.0587164238095,0.880915224552,1.01906143755e-05,0.000567615497857,9.9106637208e-06,0.00377806369215,img_00103.jpg
2.82701986265e-08,0.746122837067,0.245519667864,2.10543407775e-06,3.56418217962e-06,0.00825381837785,7.01090471011e-07,9.7252537671e-05,img_00103.jpg
1.94926747099e-06,0.940354347229,0.00693840812892,0.000225149400649,9.04171940874e-07,0.034267835319,0.000327574525727,0.0178837180138,img_00109.jpg
8.16739398335e-10,0.982800483704,0.000102602476545,4.23982804421e-08,1.17465719995e-06,4.10530674344e-07,1.47206069556e-08,0.0170952547342,img_00120.jpg
5.76244207906e-09,0.776013314724,0.00492465915158,1.0096373444e-06,1.43623452686e-07,0.219027742743,1.58066950462e-06,3.14732424158e-05,img_00125.jpg
1.01757784421e-07,0.964905321598,0.0149863343686,6.08076588833e-05,5.90067884332e-06,0.0101301949471,2.17962724491e-06,0.00990912225097,img_00125.jpg
1.52878806148e-06,0.000237617394305,0.000710829510354,0.719826519489,5.57443900107e-06,1.74782580871e-05,1.08310532596e-05,0.279189556837,img_00128.jpg
4.80569504191e-08,9.8636974144e-07,4.32671960482e-08,2.18033989086e-07,1.67454394795e-09,3.30822103933e-06,0.999985337257,1.0182024198e-05,img_00129.jpg
